IDENTITY, NAME, Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,GRADE
68066,Parker Norton,d,c,c,c,b,c,d,a,b,d,d,3954%
70186,Jair Zhang,c,a,c,b,d,b,c,d,a,d,b,3972%
83598,Nathaly Santiago,c,b,a,c,a,a,c,d,c,a,c,3990%
64304,Selena Mathis,c,b,a,d,b,d,a,d,d,d,a,4009%
11882,Tania V. Cooper,a,d,b,a,c,d,b,a,a,b,d,4054%
62346,Rafael Jarvis,b,b,a,a,b,c,a,d,a,a,c,4081%
65713,Lucia Mcknight,a,c,a,d,b,b,c,c,a,d,c,4118%
90760,Byron Wallace,c,d,c,d,a,b,a,c,c,a,c,4145%
34667,Aryana Tanner-Ventnor-Smith,d,c,c,d,c,a,a,c,d,a,c,4163%
95174,Aimee Beasley,b,a,c,b,d,b,d,c,a,c,b,4172%
26412,Danna Duffy,d,b,d,c,b,b,b,a,d,a,d,4236%
59573,Alexandria Shepherd,a,d,a,d,a,c,a,b,c,c,d,4263%
94112,Matias Randall,d,c,d,a,a,a,b,a,b,a,c,4300%
55398,Amani Dillon,b,d,d,a,d,d,b,a,c,b,d,4345%
22897,Mattie Roth,d,d,a,b,c,d,d,b,b,c,b,4354%
43908,Shaylee Martin,a,d,d,a,b,c,c,a,d,a,a,4436%
33947,Royce Montgomery,c,b,d,a,c,c,d,c,c,d,d,4463%
19367,Selina Rhodes,c,c,b,d,b,d,b,a,b,d,a,4481%
69188,Tyrone Reeves,d,a,d,d,d,d,c,b,a,b,b,4500%
94846,Kasey Padilla,d,a,a,b,d,a,b,b,c,d,b,4500%
74360,Chase A. Black,c,c,d,d,c,a,d,b,a,d,a,4509%
90699,Layne Carpenter,c,c,a,c,d,b,a,d,c,b,a,4518%
40450,Damon Christensen,b,c,d,d,b,a,d,d,c,c,c,4536%
37916,Jalen Henry,b,d,d,a,b,b,c,a,d,a,d,4627%
80405,Aliya Patrick,d,b,d,b,c,a,c,d,c,b,d,4654%
15500,Dane Braun,b,c,c,a,a,a,a,d,c,c,b,4663%
57099,Theodore Medina,b,d,c,c,a,d,c,d,b,c,a,4681%
93943,Chasity Austin,c,d,d,a,a,c,d,c,a,b,c,4709%
65287,Neil J. Tucker,b,c,d,a,b,b,d,c,a,c,a,4745%
27950,Sage Dickerson,b,c,a,c,a,a,c,c,d,b,c,4763%
40798,Gianna Barajas,d,b,c,d,c,a,d,a,c,d,a,4772%
40291,Albert Dunlap,a,d,d,a,b,b,c,b,c,a,d,4854%
45196,Caitlyn Garrison,b,d,d,a,a,b,a,d,d,c,c,4900%
52718,Quintin R. Blackburn,c,c,b,b,b,b,a,b,b,c,b,4918%
16558,Riley Hebert,d,b,b,d,c,d,a,d,c,d,d,4927%
45711,Carly Burke,a,a,c,d,c,b,b,b,d,c,c,4954%
92263,Francisco Strickland,a,d,e,a,a,b,c,a,d,a,d,5036%
62436,Mckayla Kaiser,a,d,a,c,c,a,b,d,a,a,c,5063%
79611,Erick Garza,b,d,d,a,c,b,a,c,a,b,d,5109%
07751,Payten Richard,d,c,a,c,d,a,a,d,d,a,c,5127%
37778,Valerie Jordan,a,d,b,a,d,d,d,a,d,c,a,5172%
33719,Deandre Pham,a,a,d,a,b,c,a,a,a,b,d,5227%
93785,Karlee Schneider,b,d,d,a,d,b,c,a,b,d,a,5281%
34071,Ezequiel Cole,d,d,b,c,c,b,d,c,c,c,c,5300%
10888,Yuliana Parker,a,c,a,a,d,d,a,a,c,a,b,5336%
13808,Jesse Conner,b,d,b,c,d,c,d,c,b,a,a,5354%
34329,Giuliana Boone,b,d,b,d,b,d,d,b,c,d,b,5372%
71120,Ryker Gillespie,c,c,c,a,c,d,b,d,c,d,c,5381%
00162,Mareli Woods,b,b,d,c,b,d,c,c,c,d,c,5409%
14363,Piper Powers,d,b,a,b,a,c,c,c,a,a,c,5427%
59339,Elisa Mccann,d,d,b,c,c,d,d,d,a,d,c,5436%
99640,Malakai Huerta,c,a,a,b,d,c,a,c,d,b,d,5454%
47591,Alyson Hunter,d,c,b,d,c,d,b,c,c,c,a,5454%
96574,Hazel Rubio,c,d,a,c,c,c,a,b,c,a,c,5472%
34408,Justice Pacheco,c,c,a,b,d,a,a,c,c,b,b,5472%
29883,Madison Escobar,a,c,c,c,b,c,d,d,c,a,b,5500%
30321,Terrence Yu,c,b,b,b,b,d,d,d,c,d,a,5509%
75807,Kyra Figueroa,d,a,a,b,b,b,c,b,a,a,a,5545%
12473,Kellen Gentry,d,d,a,b,d,b,b,c,d,d,d,5581%
12588,Jayden Herman,c,c,a,a,b,a,c,b,b,c,c,5609%
08736,Blaine M. Blevins,a,d,c,c,b,b,c,a,d,a,d,5690%
40902,Curtis Mclaughlin,c,c,b,b,b,a,b,a,c,b,a,5709%
28864,Julie Mcdowell,c,c,a,d,a,d,b,a,d,b,d,5736%
79106,Eduardo Gallagher,b,a,a,b,a,b,a,c,a,b,d,5754%
12403,Jax Vazquez,b,b,b,d,c,c,c,a,a,d,d,5781%
86322,Lilia McFarland,c,b,b,b,c,a,c,a,a,c,b,5800%
27385,Ally Archer,a,b,d,a,c,d,b,d,a,d,c,5827%
45573,Sammy Pierce,b,a,d,b,d,c,c,b,d,d,d,5863%
55433,Nola Villarreal,a,b,c,a,d,d,b,d,a,b,d,5890%
79329,Ryan Mays,a,b,b,a,a,d,c,b,d,b,c,5927%
13344,Sergio Rice,a,b,a,d,a,d,b,a,a,d,b,5945%
88037,Belen Frank,c,c,d,c,d,d,a,d,a,b,d,5963%
53467,Nikhil Miles,a,c,b,a,d,d,d,d,a,d,d,5990%
80327,Sebastian Jennings,d,a,b,d,a,c,d,c,b,d,b,5990%
39933,Gideon Haynes,c,b,a,c,d,d,c,d,b,d,d,6009%
73824,Rodolfo Roman,c,c,a,d,c,d,a,b,a,b,a,6009%
13088,Rayna Moss,a,d,d,a,b,b,d,a,d,a,d,6100%
75766,Adeline Taylor,b,b,d,c,a,d,d,c,b,a,b,6118%
39935,Harold Tapia,d,b,a,d,d,b,d,d,b,c,a,6127%
08772,Austin Munoz,b,b,b,c,d,a,c,a,b,c,c,6145%
38760,Braylon Hodges,b,c,d,c,c,b,c,b,c,c,b,6172%
87967,Aleah Kemp,d,a,a,a,c,a,a,a,c,b,c,6190%
30784,King Durham,a,d,d,a,b,b,c,a,a,b,a,6263%
01807,Chanel Browning,a,a,b,c,d,c,a,c,c,a,d,6290%
52101,Hamza Villa,b,d,b,d,b,d,a,c,a,b,b,6309%
93353,Nicholas Baker,a,a,d,c,d,c,b,d,c,c,c,6327%
48306,Joyce Shields,a,c,a,d,c,d,a,d,c,b,c,6336%
66371,Sierra P. Lamb,a,c,c,b,d,d,a,a,d,a,c,6372%
68873,Elian Rojas,c,d,c,a,c,a,c,c,c,c,b,6400%
70586,Kamren Carter,b,b,a,d,c,d,d,d,b,b,a,6400%
24682,Aldo Stone,a,a,b,d,a,d,c,c,c,b,d,6427%
62558,Jamari Wilkerson,b,b,d,a,d,a,b,a,c,b,d,6463%
96367,Dominique Frey,a,c,d,c,d,d,d,d,a,a,d,6500%
98546,Destiney Morris,d,b,d,b,c,c,c,a,d,b,a,6536%
68346,Sam Norris,b,b,c,d,c,b,a,d,a,d,b,6545%
07070,Lexi Gross,d,a,d,d,a,c,d,d,d,c,a,6563%
41203,Carson Reynolds,a,c,c,d,d,c,b,b,d,d,a,6581%
97972,Ella O'rozco,b,a,a,b,a,b,a,d,b,d,c,6590%
67261,Savannah Fuller,b,b,a,b,a,b,d,a,d,b,a,6618%
27750,Alec Sanders,d,b,a,c,b,a,d,c,b,a,d,6645%
